,y
157,61.3046875
158,50.9140625
159,79.0390625
160,193.359375
161,118.1796875
162,97.7578125
163,286.4921875
164,38.6171875
165,107.7578125
166,69.796875
167,104.53125
168,67.3671875
169,193.8984375
170,114.1328125
171,109.421875
172,277.453125
173,15.46875
174,64.3046875
175,519.1171875
176,99.9375
177,273.546875
178,78.640625
179,54.75
180,110.6796875
181,77.90625
182,20.671875
183,-0.5234375
184,49.59375
185,65.8828125
186,154.328125
187,196.7890625
188,268.5
189,175.0859375
190,259.3046875
191,183.0234375
192,120.96875
193,131.21875
194,2.90625
195,204.1796875
196,100.34375
197,187.8515625
198,79.453125
199,103.2421875
200,186.0625
201,158.40625
202,250.2578125
203,108.9921875
204,309.8515625
205,175.5
206,193.875
207,190.5625
208,125.578125
209,352.390625
210,284.4296875
211,178.8046875
212,172.34375
213,87.90625
214,192.5703125
215,157.984375
216,203.4140625
217,167.7578125
218,174.4921875
219,306.0625
220,358.2421875
221,115.3515625
222,280.4140625
223,129.6796875
224,102.890625
225,83.21875
226,114.4453125
227,111.734375
228,102.3046875
229,172.6015625
230,280.6875
231,107.0
232,33.921875
233,181.84375
234,104.640625
235,56.8046875
236,190.0859375
237,115.578125
238,179.7109375
239,272.9140625
240,187.9765625
241,224.3203125
242,159.734375
243,108.234375
244,72.0390625
245,121.90625
246,355.7109375
247,74.28125
248,91.53125
249,69.7734375
250,108.5390625
251,75.890625
252,242.15625
253,21.375
254,206.203125
255,107.078125
256,220.875
257,120.140625
258,92.84375
259,140.90625
260,234.3671875
261,125.4921875
262,199.71875
263,69.0234375
264,127.078125
265,241.9765625
266,401.4453125
267,222.5703125
268,81.015625
269,433.8359375
270,158.5078125
271,101.3203125
272,79.890625
273,106.2109375
274,188.4921875
275,39.8125
276,328.28125
277,121.3125
278,92.5
279,150.4609375
280,334.4765625
281,100.90625
282,198.0859375
283,78.75
284,276.59375
285,105.4453125
286,168.4296875
287,65.2734375
288,185.84375
289,165.46875
290,49.2265625
291,117.7578125
292,69.2890625
293,83.7421875
294,63.8515625
295,124.0078125
296,665.671875
297,76.3984375
298,322.515625
299,101.0625
300,111.671875
301,148.6328125
302,99.8359375
303,105.59375
304,254.6328125
305,42.40625
306,213.3046875
307,423.3359375
308,66.953125
309,163.046875
310,163.53125
311,103.015625
312,260.84375
313,98.6484375
314,93.2109375
315,352.9453125
316,140.90625
317,236.8515625
318,187.0546875
319,75.8515625
320,190.375
321,77.25
322,291.90625
323,117.796875
324,103.6328125
325,210.84375
326,216.5859375
327,202.40625
328,183.4296875
329,297.3203125
330,105.9921875
331,267.4296875
332,155.6328125
333,65.3125
334,198.5
335,57.6015625
336,353.5
337,123.890625
338,97.3671875
339,157.6484375
340,115.8046875
341,604.2109375
342,152.4453125
343,100.9296875
344,93.9921875
345,154.7578125
346,285.96875
347,167.75
348,76.921875
349,119.8984375
350,87.4453125
351,201.53125
352,62.9140625
353,239.3046875
354,121.953125
355,97.109375
356,97.015625
357,315.8984375
358,67.0
359,286.9765625
360,158.7578125
361,80.53125
362,436.0703125
363,104.15625
364,186.9453125
365,115.8046875
366,67.828125
367,142.9140625
368,77.234375
369,326.0
370,123.8984375
371,170.3984375
372,240.0390625
373,94.6640625
374,61.34375
375,144.40625
376,398.390625
377,336.2890625
378,100.375
379,102.234375
380,106.5234375
381,102.6875
382,108.6484375
383,157.5546875
384,131.125
385,106.765625
386,112.3515625
387,107.265625
388,332.515625
389,79.375
390,63.4296875
391,272.359375
392,32.28125
393,201.984375
394,300.0625
395,344.5234375
396,161.1640625
397,148.3359375
398,100.734375
399,266.1484375
400,200.265625
401,131.5546875
402,199.1953125
403,266.7265625
404,696.421875
405,155.59375
406,198.8515625
407,182.2265625
408,59.9296875
409,235.03125
410,56.0
411,273.1796875
412,65.5234375
413,209.1796875
414,57.8984375
415,199.0625
416,263.1171875
417,235.921875
418,74.7421875
419,151.2265625
420,86.5
421,-9.0703125
422,210.34375
423,237.1640625
424,231.1953125
425,192.7265625
426,22.890625
427,244.8125
428,111.1953125
429,-45.0078125
430,67.421875
431,117.8203125
432,110.3203125
433,101.0546875
434,90.4375
435,50.59375
436,91.8671875
437,249.71875
438,235.359375
439,93.828125
440,229.546875
441,141.765625
442,118.1796875
443,318.234375
444,172.8203125
445,176.0078125
446,108.2734375
447,121.109375
448,286.1171875
449,103.2109375
450,177.75
451,119.4296875
452,184.390625
453,208.09375
454,211.8671875
455,187.9609375
456,202.3984375
457,213.4140625
458,88.1875
459,113.8671875
460,266.859375
461,103.8359375
462,108.0234375
463,325.390625
464,94.921875
465,72.5078125
466,113.6171875
467,178.859375
468,229.6171875
469,168.1875
470,193.0625
471,103.421875
472,89.5
473,133.734375
474,41.7421875
475,168.984375
476,49.3984375
477,181.8984375
478,60.1953125
479,122.2265625
480,298.9453125
481,161.3359375
482,73.8203125
483,129.734375
484,178.2890625
485,324.5859375
486,291.3515625
487,188.1640625
488,381.1328125
489,180.8984375
490,171.8671875
491,439.3125
492,183.046875
493,112.625
494,92.78125
495,101.1875
496,76.4375
497,148.609375
498,167.6796875
499,78.5390625
500,86.9609375
501,117.40625
502,473.5078125
503,120.5234375
504,124.8125
505,88.0625
506,252.0234375
507,237.0234375
508,335.203125
509,204.2890625
510,192.21875
511,83.984375
512,57.7421875
513,238.765625
514,75.921875
515,128.40625
516,196.609375
517,135.40625
518,104.5703125
519,192.953125
520,319.2265625
521,101.6640625
522,77.09375
523,327.453125
524,150.6328125
525,108.515625
526,210.015625
527,91.65625
528,75.4765625
529,81.0390625
530,189.234375
531,40.6328125
532,230.140625
533,111.5703125
534,145.3984375
535,62.9609375
536,199.265625
537,190.6875
538,198.078125
539,80.59375
540,123.265625
541,160.53125
542,22.6484375
543,692.234375
544,124.2578125
545,66.5546875
546,103.8046875
547,100.203125
548,377.859375
549,103.140625
550,201.3515625
551,58.3515625
552,69.6640625
553,105.9921875
554,97.5625
555,119.6796875
556,124.90625
557,244.4609375
558,103.5390625
559,265.0703125
560,97.3046875
561,107.5078125
562,118.71875
563,102.40625
564,161.109375
565,247.71875
566,119.4140625
567,144.4453125
568,118.3828125
569,121.8203125
570,265.671875
571,107.171875
572,102.109375
573,120.7890625
574,74.5703125
575,51.7421875
576,141.0078125
577,75.2265625
578,188.453125
579,117.375
580,421.9921875
581,80.25
582,217.0390625
583,210.171875
584,4.0390625
585,149.5546875
586,171.1328125
587,109.703125
588,115.4453125
589,142.265625
590,180.5703125
591,84.203125
592,147.1328125
593,114.5546875
594,60.0546875
595,329.1953125
596,207.8203125
597,109.6328125
598,104.8125
599,113.9921875
600,119.765625
601,264.015625
602,61.4765625
603,119.921875
604,118.6640625
605,406.9453125
606,186.0859375
607,267.359375
608,56.7734375
609,171.5625
610,56.3359375
611,80.390625
612,104.53125
613,91.09375
614,169.109375
615,121.2421875
616,204.4609375
617,184.0390625
618,166.8671875
619,60.6875
620,73.515625
621,80.25
622,79.6484375
623,336.53125
624,79.375
625,155.453125
626,102.375
627,276.9765625
628,78.203125
629,135.359375
630,127.9140625
631,94.3828125
632,78.2578125
633,112.90625
634,558.7578125
635,107.578125
636,171.03125
637,200.7265625
638,74.4375
639,182.96875
640,154.484375
641,83.8984375
642,118.6875
643,168.390625
644,199.0859375
645,67.7890625
646,89.34375
647,42.8671875
648,88.1015625
649,93.875
650,101.765625
651,137.421875
652,104.8671875
653,97.59375
654,88.5703125
655,122.2578125
656,187.046875
657,43.671875
658,39.609375
659,86.859375
660,441.5546875
661,97.0234375
662,117.2578125
663,102.484375
664,110.2109375
665,204.9609375
666,49.609375
667,188.015625
668,110.1484375
669,87.5625
670,110.6953125
671,116.34375
672,76.65625
673,154.859375
674,94.015625
675,94.9140625
676,421.5546875
677,62.8046875
678,112.546875
679,128.1328125
680,104.7421875
681,186.4140625
682,149.03125
683,111.296875
684,291.5390625
685,230.6875
686,161.3125
687,124.703125
688,263.1640625
689,71.8828125
690,35.3046875
691,177.921875
692,267.3046875
693,94.3671875
694,161.6015625
695,280.046875
696,109.6015625
697,107.9296875
698,223.03125
699,95.53125
700,92.7421875
701,98.6484375
702,353.0234375
703,120.3125
704,117.1328125
705,119.15625
706,258.3125
707,170.8046875
708,73.625
709,145.1640625
710,115.0078125
711,242.109375
712,100.078125
713,101.5234375
714,140.0390625
715,60.921875
716,223.3515625
717,108.421875
718,111.28125
719,119.1875
720,128.703125
721,111.0625
722,33.609375
723,126.703125
724,20.171875
725,208.15625
726,40.59375
727,83.6875
728,139.359375
729,364.0703125
730,-92.4375
731,166.609375
732,160.578125
733,105.6484375
734,127.2890625
735,79.4609375
736,250.234375
737,68.875
738,102.0703125
739,101.9609375
740,197.9765625
741,187.234375
742,290.75
743,179.1875
744,116.53125
745,216.359375
746,130.5390625
747,37.1484375
748,71.7265625
749,253.0625
750,260.171875
751,99.4140625
752,35.5390625
753,182.7265625
754,149.78125
755,146.1796875
756,86.4140625
757,197.953125
758,77.875
759,158.46875
760,96.8671875
761,108.6171875
762,177.53125
763,109.109375
764,73.171875
765,112.7265625
766,86.0859375
767,101.1171875
768,28.1875
769,244.0234375
770,159.3515625
771,117.9609375
772,98.5703125
773,251.1796875
774,147.7578125
775,312.515625
776,194.3828125
777,163.6796875
778,192.28125
779,71.34375
780,297.84375
781,322.96875
782,189.8671875
783,104.265625
784,115.3203125
785,108.546875
786,181.5625
787,156.7734375
788,247.5390625
789,49.453125
790,232.7265625
791,361.7890625
792,235.9375
793,327.484375
794,121.0
795,197.0078125
796,499.1484375
797,359.6015625
798,144.3125
799,117.1328125
800,109.9765625
801,226.109375
802,111.8359375
803,166.609375
804,56.96875
805,231.2734375
806,125.15625
807,85.765625
808,320.7265625
809,98.8125
810,204.7890625
811,115.390625
812,207.4296875
813,114.234375
814,151.890625
815,107.859375
816,50.46875
817,270.1171875
818,101.21875
819,123.7890625
820,190.34375
821,211.234375
822,360.5
823,195.875
824,51.0390625
825,308.3828125
826,91.5078125
827,98.40625
828,319.4765625
829,42.9609375
830,75.9921875
831,67.640625
832,159.375
833,185.234375
834,185.375
835,109.59375
836,98.9296875
837,98.984375
838,148.15625
839,159.1015625
840,124.9140625
841,119.2265625
842,48.546875
843,90.859375
844,106.7578125
845,145.6640625
846,186.328125
847,47.453125
848,98.625
849,131.0078125
850,99.8828125
851,102.40625
852,299.6015625
853,91.0
854,118.90625
855,147.5546875
856,158.0234375
857,75.3984375
858,115.4453125
859,91.796875
860,314.9765625
861,109.0234375
862,242.59375
863,152.25
864,250.3046875
865,110.1484375
866,297.6015625
867,229.15625
868,67.3046875
869,273.71875
870,71.8359375
871,277.890625
872,403.90625
873,263.0703125
874,293.515625
875,411.1171875
876,90.3515625
877,122.9921875
878,196.125
879,99.4921875
880,129.3828125
881,82.90625
882,181.359375
883,140.9453125
884,76.125
885,331.53125
886,329.1328125
887,203.6015625
888,368.703125
889,40.03125
890,369.9609375
891,204.953125
892,103.0390625
893,166.1953125
894,249.265625
895,126.171875
896,121.453125
897,194.7734375
898,67.0390625
899,169.578125
900,96.5546875
901,75.953125
902,180.0078125
903,72.609375
904,204.046875
905,245.5859375
906,354.109375
907,302.2890625
908,100.7578125
909,78.546875
910,71.1640625
911,104.03125
912,132.2890625
913,179.5546875
914,103.59375
915,73.203125
916,123.875
917,409.125
918,248.3828125
919,168.34375
920,194.1015625
921,175.8828125
922,158.9296875
923,107.328125
924,102.875
925,354.453125
926,158.546875
927,145.9453125
928,76.03125
929,171.9375
930,98.984375
931,169.7265625
932,76.9296875
933,92.3984375
934,105.2265625
935,157.46875
936,64.1875
937,107.2578125
938,125.2265625
939,117.9609375
940,210.5625
941,153.3515625
942,109.40625
943,115.390625
944,105.8203125
945,33.640625
946,70.2578125
947,104.7109375
948,118.9765625
949,115.0234375
950,60.859375
951,148.625
952,241.5859375
953,105.7734375
954,143.3359375
955,267.75
956,96.046875
957,112.625
958,149.90625
959,187.6484375
960,128.6328125
961,68.84375
962,118.890625
963,65.1328125
964,109.3828125
965,327.3125
966,57.328125
967,101.390625
968,74.4609375
969,130.0625
970,54.1015625
971,122.78125
972,165.2734375
973,107.9609375
974,128.5078125
975,149.4375
976,99.8203125
977,119.1640625
978,119.7421875
979,109.109375
980,200.8359375
981,130.5
982,57.84375
983,106.640625
984,69.6953125
985,290.4296875
986,192.3046875
987,76.7265625
988,105.921875
989,71.7265625
990,114.78125
991,80.609375
992,70.6484375
993,94.84375
994,-75.0078125
995,123.8046875
996,100.421875
997,230.5546875
998,127.1171875
999,43.875
1000,72.375
1001,110.6328125
1002,87.890625
1003,276.5546875
1004,361.9609375
1005,99.796875
1006,88.1953125
1007,120.3359375
1008,201.953125
1009,117.796875
1010,131.9453125
1011,122.328125
1012,85.9609375
1013,273.296875
1014,261.0078125
1015,137.7890625
1016,81.0234375
1017,126.234375
1018,30.0234375
1019,59.859375
1020,118.8046875
1021,172.6015625
1022,121.28125
1023,88.6796875
1024,78.2578125
1025,203.609375
1026,105.625
1027,147.3203125
1028,143.015625
1029,80.453125
1030,114.7109375
1031,74.2109375
1032,681.3828125
1033,297.3828125
1034,105.3203125
1035,127.5859375
1036,21.6328125
1037,174.2578125
1038,144.4765625
1039,119.2578125
1040,485.65625
1041,178.1640625
1042,219.4765625
1043,224.1484375
1044,143.4765625
1045,112.5859375
1046,66.8125
1047,24.15625
1048,107.7421875
1049,100.703125
1050,76.234375
1051,104.5
1052,196.0546875
1053,-2.2578125
1054,134.203125
1055,100.6640625
1056,194.75
1057,68.6953125
1058,108.28125
1059,136.0625
1060,183.359375
1061,84.0234375
1062,192.6875
1063,106.1875
1064,98.203125
1065,54.3046875
1066,194.734375
1067,413.8203125
1068,436.625
1069,75.7734375
1070,116.6171875
1071,227.5234375
1072,224.84375
1073,262.671875
1074,117.828125
1075,82.171875
1076,210.8203125
1077,110.5234375
1078,107.8203125
1079,207.5
1080,358.0859375
1081,80.390625
1082,183.21875
1083,145.875
1084,138.2421875
1085,243.0078125
1086,209.984375
1087,156.1796875
1088,165.1171875
1089,239.6328125
1090,189.5546875
1091,103.2734375
1092,74.6328125
1093,124.5234375
1094,24.671875
1095,328.75
1096,100.3671875
1097,447.7890625
1098,83.421875
1099,143.0546875
1100,102.09375
1101,63.953125
1102,100.3125
1103,519.1796875
1104,109.09375
1105,252.390625
1106,312.7265625
1107,329.109375
1108,191.1015625
1109,274.1328125
1110,196.84375
1111,82.6015625
1112,225.3125
1113,108.046875
1114,183.6015625
1115,112.625
1116,259.5234375
1117,161.03125
1118,113.6328125
1119,204.8125
1120,65.5859375
1121,175.75
1122,129.15625
1123,277.875
1124,92.3828125
1125,60.46875
1126,20.46875
1127,106.7421875
1128,263.34375
1129,188.1484375
1130,99.7890625
1131,166.984375
1132,82.3125
1133,356.359375
1134,172.71875
1135,65.0703125
1136,121.3125
1137,166.7890625
1138,81.328125
1139,105.15625
1140,148.5234375
1141,51.3125
1142,256.4375
1143,39.6953125
1144,97.8046875
1145,92.078125
1146,159.78125
1147,259.8828125
1148,119.328125
1149,71.015625
1150,96.140625
1151,88.1015625
1152,128.6015625
1153,76.1640625
1154,52.828125
1155,116.46875
1156,112.5546875
1157,-18.6953125
1158,99.5546875
1159,683.9296875
1160,252.046875
1161,128.7890625
1162,187.1328125
1163,88.984375
1164,164.6796875
1165,193.8046875
1166,104.109375
1167,278.71875
1168,86.671875
1169,217.9921875
1170,81.8203125
1171,169.4375
1172,127.3046875
1173,174.3828125
1174,169.15625
1175,269.609375
1176,361.65625
1177,100.7890625
1178,134.6796875
1179,291.296875
1180,149.359375
1181,180.609375
1182,92.5625
1183,262.2265625
1184,123.1328125
1185,219.8828125
1186,276.6484375
1187,111.0859375
1188,101.7734375
1189,106.859375
1190,84.9140625
1191,110.8828125
1192,49.2578125
1193,288.4453125
1194,64.6484375
1195,145.6796875
1196,107.703125
1197,77.140625
1198,63.4375
1199,204.5859375
1200,189.6484375
1201,119.6875
1202,167.5859375
1203,285.734375
1204,126.90625
1205,-38.28125
1206,104.8828125
1207,99.2421875
1208,66.453125
1209,291.234375
1210,149.0859375
1211,177.2578125
1212,194.2734375
1213,31.0078125
1214,275.4296875
1215,75.078125
1216,167.203125
1217,49.5703125
1218,137.9765625
1219,140.234375
1220,119.03125
1221,203.671875
1222,157.1015625
1223,148.9375
1224,180.1875
1225,167.4453125
1226,99.390625
1227,69.9921875
1228,119.8515625
1229,116.46875
1230,175.3515625
1231,280.9453125
1232,187.6484375
1233,194.3515625
1234,150.234375
1235,150.828125
1236,287.3984375
1237,99.1015625
1238,205.265625
1239,99.3515625
1240,83.1484375
1241,177.9296875
1242,117.9765625
1243,88.234375
1244,115.6328125
1245,330.6953125
1246,193.6796875
1247,54.6953125
1248,202.859375
1249,146.4765625
1250,147.0078125
1251,379.90625
1252,56.640625
1253,207.5
1254,443.0546875
1255,680.546875
1256,203.1328125
1257,55.7421875
1258,102.8671875
1259,122.40625
1260,-50.40625
1261,117.203125
1262,95.0859375
1263,69.1171875
1264,204.9921875
1265,184.3125
1266,157.0390625
1267,111.2578125
1268,109.5625
1269,102.1328125
1270,107.21875
1271,175.15625
1272,35.765625
1273,103.6171875
1274,155.390625
1275,55.8515625
1276,118.25
1277,113.6328125
1278,186.59375
1279,106.265625
1280,418.015625
1281,45.9453125
1282,157.5703125
1283,73.9921875
1284,91.8359375
1285,86.3671875
1286,75.890625
1287,70.9296875
1288,169.8125
1289,209.5390625
1290,188.875
1291,157.953125
1292,53.2734375
1293,205.7890625
1294,179.2109375
1295,134.0390625
1296,99.828125
1297,68.5625
1298,113.0234375
1299,118.515625
1300,95.7734375
1301,111.671875
1302,27.578125
1303,179.359375
1304,114.96875
1305,207.78125
1306,276.8984375
1307,93.0234375
1308,80.5234375
1309,124.03125
1310,179.9921875
1311,108.1953125
1312,133.03125
1313,175.7890625
1314,162.453125
1315,123.25
1316,115.2109375
1317,87.46875
1318,63.1875
1319,272.7890625
1320,174.71875
1321,286.7265625
1322,79.4453125
1323,-22.953125
1324,114.1953125
1325,78.1875
1326,187.3984375
1327,112.8046875
1328,185.171875
1329,252.296875
1330,13.2265625
1331,139.421875
1332,149.4921875
1333,129.9375
1334,105.9609375
1335,178.640625
1336,330.2734375
1337,108.140625
1338,281.390625
1339,64.8671875
1340,166.6015625
1341,101.2109375
1342,106.3828125
1343,175.7109375
1344,361.953125
1345,76.1328125
1346,126.7265625
1347,127.1484375
1348,210.0703125
1349,120.0390625
1350,148.53125
1351,101.359375
1352,166.8046875
1353,76.5859375
1354,67.828125
1355,121.4609375
1356,157.6171875
1357,240.8828125
1358,195.7578125
1359,163.8125
1360,270.921875
1361,194.46875
1362,165.03125
1363,105.40625
1364,358.6171875
1365,65.453125
1366,90.859375
1367,272.6484375
1368,-35.8203125
1369,99.8984375
1370,191.046875
1371,142.21875
1372,106.4375
1373,271.59375
1374,89.03125
1375,120.3359375
1376,102.9609375
1377,118.109375
1378,103.0390625
1379,127.984375
1380,120.265625
1381,164.9453125
1382,152.7734375
1383,62.0703125
1384,103.9140625
1385,135.09375
1386,208.4140625
1387,66.5078125
1388,66.6953125
1389,70.203125
1390,58.0859375
1391,161.3359375
1392,261.453125
1393,114.7578125
1394,264.265625
1395,155.5859375
1396,95.0234375
1397,167.8359375
1398,146.6171875
1399,193.9296875
1400,55.9921875
1401,84.328125
1402,169.640625
1403,101.0859375
1404,124.640625
1405,115.6328125
1406,191.8515625
1407,104.5234375
1408,210.1171875
1409,238.59375
1410,69.6796875
1411,59.8125
1412,207.8046875
1413,179.328125
1414,116.5703125
1415,260.6640625
1416,436.6328125
1417,331.40625
1418,61.765625
1419,206.65625
1420,94.484375
1421,70.59375
1422,220.90625
1423,6.3984375
1424,102.0546875
1425,72.8203125
1426,276.03125
1427,106.6640625
1428,107.2578125
1429,72.3515625
1430,234.2421875
1431,60.578125
1432,55.6875
1433,403.09375
1434,99.96875
1435,155.6328125
1436,159.3828125
1437,355.2109375
1438,190.0703125
1439,684.6328125
1440,195.2734375
1441,145.046875
1442,164.1171875
1443,98.9921875
1444,213.0625
1445,145.921875
1446,72.1640625
1447,191.734375
1448,225.21875
1449,247.578125
1450,173.2265625
1451,112.1796875
1452,306.90625
1453,340.1875
1454,192.21875
1455,126.1328125
1456,27.7109375
1457,70.8671875
1458,197.984375
1459,62.59375
1460,287.1640625
1461,195.953125
1462,191.34375
1463,187.59375
1464,114.4140625
1465,220.078125
1466,253.03125
1467,180.609375
1468,200.59375
1469,119.8046875
1470,75.4140625
1471,105.28125
1472,85.765625
1473,124.0234375
1474,126.5234375
1475,108.7265625
1476,133.15625
1477,70.6875
1478,58.796875
1479,98.34375
1480,92.4453125
1481,164.1640625
1482,78.296875
1483,262.3125
1484,43.34375
1485,119.2890625
1486,83.078125
1487,163.5703125
1488,387.046875
1489,54.6015625
1490,409.9296875
1491,189.015625
1492,78.9609375
1493,212.6171875
1494,81.515625
1495,232.3984375
1496,112.4609375
1497,89.578125
1498,126.484375
1499,138.25
1500,37.8984375
1501,94.453125
1502,199.484375
1503,131.0390625
1504,213.9375
1505,162.9921875
1506,203.875
1507,175.9609375
1508,60.015625
1509,78.9140625
1510,220.28125
1511,93.9921875
1512,83.640625
1513,88.09375
1514,108.484375
1515,114.375
1516,41.28125
1517,368.4453125
1518,89.640625
1519,192.5703125
1520,203.59375
1521,354.21875
1522,47.09375
1523,206.203125
1524,129.953125
1525,79.6875
1526,113.4296875
1527,120.40625
1528,260.953125
1529,195.5703125
1530,64.3125
1531,412.859375
1532,265.203125
1533,275.0546875
1534,29.6015625
1535,199.125
1536,49.109375
1537,178.671875
1538,272.9453125
1539,83.8359375
1540,100.1796875
1541,209.875
1542,76.96875
1543,164.21875
1544,116.015625
1545,351.296875
1546,308.9453125
1547,38.2109375
1548,97.296875
1549,80.046875
1550,104.703125
1551,184.3359375
1552,56.609375
1553,133.6796875
1554,412.1640625
1555,114.9296875
1556,49.7421875
1557,284.578125
1558,233.5546875
1559,132.8828125
1560,122.4609375
1561,114.8046875
1562,81.359375
1563,118.5234375
1564,87.1953125
1565,98.4375
1566,189.734375
1567,-49.5234375
1568,113.015625
1569,111.203125
1570,268.2890625
1571,79.796875
1572,202.0859375
1573,91.515625
1574,68.0546875
1575,66.03125
1576,284.984375
1577,180.9453125
1578,111.96875
1579,105.4453125
1580,161.578125
1581,68.75
1582,116.4375
1583,387.78125
1584,89.6796875
1585,240.21875
1586,207.015625
1587,115.0390625
1588,49.71875
1589,65.2109375
1590,122.4453125
1591,177.96875
1592,301.078125
1593,213.171875
1594,84.2109375
1595,218.2265625
1596,113.46875
1597,71.2578125
1598,248.53125
1599,55.578125
1600,228.0859375
1601,78.84375
1602,238.171875
1603,49.3125
1604,97.390625
1605,122.21875
1606,310.359375
1607,44.03125
1608,208.296875
1609,202.1640625
1610,273.0703125
1611,91.1171875
1612,104.078125
1613,239.1640625
1614,238.734375
1615,91.5859375
1616,107.65625
1617,224.0
1618,82.3125
1619,230.03125
1620,167.40625
1621,124.734375
1622,254.078125
1623,108.5390625
1624,101.921875
1625,60.53125
1626,100.8515625
1627,272.546875
1628,345.125
1629,95.2109375
1630,102.7890625
1631,203.796875
1632,50.203125
1633,121.171875
1634,171.953125
1635,56.0703125
1636,110.890625
1637,122.4296875
1638,32.0078125
1639,118.34375
1640,119.5
1641,53.0078125
1642,43.640625
1643,97.578125
1644,120.625
1645,263.390625
1646,117.234375
1647,147.1328125
1648,74.90625
1649,88.6640625
1650,202.484375
1651,67.828125
1652,70.3046875
1653,127.0078125
1654,110.0078125
1655,115.4921875
1656,60.0390625
1657,253.984375
1658,138.7421875
1659,83.875
1660,165.9140625
1661,188.6015625
1662,186.4921875
1663,24.578125
1664,96.5703125
1665,69.2890625
1666,219.8984375
1667,178.5546875
1668,102.7109375
1669,112.1328125
1670,97.609375
1671,100.359375
1672,108.78125
1673,154.5234375
1674,154.78125
1675,289.6328125
1676,196.328125
1677,261.9921875
1678,155.8671875
1679,285.125
1680,322.5625
1681,444.203125
1682,68.40625
1683,77.5703125
1684,66.7734375
1685,153.3203125
1686,192.5859375
1687,69.3203125
1688,117.234375
1689,117.7421875
1690,103.0625
1691,13.4296875
1692,115.5234375
1693,195.6640625
1694,267.0703125
1695,235.953125
1696,97.375
1697,67.4765625
1698,73.578125
1699,365.484375
1700,104.71875
1701,110.4765625
1702,54.1640625
1703,103.265625
1704,74.34375
1705,103.4609375
1706,69.109375
1707,79.4765625
1708,97.8203125
1709,117.0234375
1710,96.4453125
1711,116.6640625
1712,10.640625
1713,110.1640625
1714,59.25
1715,96.078125
1716,321.4921875
1717,119.234375
1718,265.75
1719,99.828125
1720,284.359375
1721,291.8203125
1722,127.9453125
1723,121.9140625
1724,160.0703125
1725,194.1015625
1726,32.359375
1727,160.25
1728,132.171875
1729,288.46875
1730,75.59375
1731,150.3125
1732,25.8515625
1733,167.1328125
1734,117.703125
1735,169.8515625
1736,179.71875
1737,174.234375
1738,273.03125
1739,310.4296875
1740,235.796875
1741,78.5078125
1742,53.3046875
1743,110.78125
1744,43.203125
1745,188.0625
1746,30.0859375
1747,72.3671875
1748,194.6640625
1749,149.6640625
1750,96.4609375
1751,141.171875
1752,68.609375
1753,41.46875
1754,191.8125
1755,209.6953125
1756,10.8515625
1757,73.859375
1758,78.34375
1759,70.3984375
1760,148.4296875
1761,162.828125
1762,91.640625
1763,254.4921875
1764,350.796875
1765,126.6875
1766,273.2109375
1767,150.90625
1768,236.75
1769,126.8984375
1770,102.5859375
